"ID","Title","Section","Section Depth","Section Description","Section Hierarchy","Suite","Suite ID","Type","is_converted"
"C46","Verify all links on account creation page are clickable","[Google FE] Broken link in Google account creation page","0","","[Google FE] Broken link in Google account creation page","Master","S1","Regression","1"
"C47","Verify no link returns 404 error","[Google FE] Broken link in Google account creation page","0","","[Google FE] Broken link in Google account creation page","Master","S1","Other","1"
"C48","Verify redirect links work correctly","[Google FE] Broken link in Google account creation page","0","","[Google FE] Broken link in Google account creation page","Master","S1","Other","1"
"C49","Verify external links open correctly","[Google FE] Broken link in Google account creation page","0","","[Google FE] Broken link in Google account creation page","Master","S1","Other","1"
"C50","Verify links under different network conditions","[Google FE] Broken link in Google account creation page","0","","[Google FE] Broken link in Google account creation page","Master","S1","Other","1"
"C51","Verify links in different browsers","[Google FE] Broken link in Google account creation page","0","","[Google FE] Broken link in Google account creation page","Master","S1","Other","1"
"C52","Verify mobile responsiveness of links","[Google FE] Broken link in Google account creation page","0","","[Google FE] Broken link in Google account creation page","Master","S1","Other","1"
"C53","Verify broken link handling message","[Google FE] Broken link in Google account creation page","0","","[Google FE] Broken link in Google account creation page","Master","S1","Other","0"
"C54","Verify signup button is clickable","[Google FE] Signup button isn't working in signup page","0","","[Google FE] Signup button isn't working in signup page","Master","S1","Other","0"
"C55","Verify signup button submits form with valid data","[Google FE] Signup button isn't working in signup page","0","","[Google FE] Signup button isn't working in signup page","Master","S1","Other","1"
"C56","Verify button behavior with empty fields","[Google FE] Signup button isn't working in signup page","0","","[Google FE] Signup button isn't working in signup page","Master","S1","Other","1"
"C57","Verify button behavior with invalid input","[Google FE] Signup button isn't working in signup page","0","","[Google FE] Signup button isn't working in signup page","Master","S1","Other","1"
"C58","Verify button disabled state","[Google FE] Signup button isn't working in signup page","0","","[Google FE] Signup button isn't working in signup page","Master","S1","Other","1"
"C59","Verify multiple clicks handling","[Google FE] Signup button isn't working in signup page","0","","[Google FE] Signup button isn't working in signup page","Master","S1","Other","0"
"C60","Verify button under slow network","[Google FE] Signup button isn't working in signup page","0","","[Google FE] Signup button isn't working in signup page","Master","S1","Other","0"
"C61","Verify button functionality across browsers","[Google FE] Signup button isn't working in signup page","0","","[Google FE] Signup button isn't working in signup page","Master","S1","Other","0"
"C62","Verify that the email field accepts valid email format","[Google FE] Email field in signup page accepting special characters","0","","[Google FE] Email field in signup page accepting special characters","Master","S1","Other","0"
"C63","Verify that the email field rejects special characters like """"!""""","[Google FE] Email field in signup page accepting special characters","0","","[Google FE] Email field in signup page accepting special characters","Master","S1","Other","1"
"C64","Verify that the email field rejects special characters like """"@"""", """"?""""","[Google FE] Email field in signup page accepting special characters","0","","[Google FE] Email field in signup page accepting special characters","Master","S1","Other","1"
"C65","Verify that the email field rejects multiple consecutive dots","[Google FE] Email field in signup page accepting special characters","0","","[Google FE] Email field in signup page accepting special characters","Master","S1","Other","1"
"C66","Verify that the email field rejects spaces before or after the email","[Google FE] Email field in signup page accepting special characters","0","","[Google FE] Email field in signup page accepting special characters","Master","S1","Other","1"
"C67","Verify that the email field accepts special characters in the domain part","[Google FE] Email field in signup page accepting special characters","0","","[Google FE] Email field in signup page accepting special characters","Master","S1","Other","1"
"C68","Verify that the email field rejects an email with non-alphanumeric characters only (e.g., !!!@@@)","[Google FE] Email field in signup page accepting special characters","0","","[Google FE] Email field in signup page accepting special characters","Master","S1","Other","0"
"C69","Verify that the password field is visually disabled","[Google FE] Password field is disabled in signup page","0","","[Google FE] Password field is disabled in signup page","Master","S1","Other","1"
"C70","Verify that the password field cannot be interacted with","[Google FE] Password field is disabled in signup page","0","","[Google FE] Password field is disabled in signup page","Master","S1","Other","1"
